King Abdulaziz,King Saud,King Faisal,King Khalid,King Fahad,King Abdullah,King Salman
1,1,1,1,1,1,2
1,1,1,1,1,1,2
1,1,1,1,1,1,3
1,1,1,1,1,2,4
1,1,1,1,1,2,5
,1,1,1,1,3,5
,1,1,1,1,,6
,1,1,11,1,7,6
,1,1,25,1,7,7
,14,1,28,1,8,8
,30,1,,1,9,9
,41,1,,1,10,10
,,1,,1,11,11
,,1,,1,12,12
,,1,,1,12,13
,,1,,1,13,14
,,1,,1,15,15
,,1,,1,15,16
,,1,,1,15,17
,,1,,1,16,17
,,1,,1,18,17
,,1,,1,19,20
,,1,,1,21,20
,,1,,1,21,21
,,1,,1,22,22
,,33,,1,23,23
,,,,1,25,24
,,,,1,25,25
,,,,1,26,27
,,,,2,27,27
,,,,2,28,27
,,,,3,29,28
,,,,3,29,29
,,,,6,30,30
,,,,6,30,31
,,,,8,30,32
,,,,8,31,33
,,,,10,32,34
,,,,11,33,35
,,,,13,35,36
,,,,14,36,37
,,,,17,37,38
,,,,19,41,41
,,,,19,41,42
,,,,22,41,42
,,,,23,46,43
,,,,23,47,44
,,,,23,47,45
,,,,30,15,45
,,,,31,26,46
,,,,33,50,47
,,,,37,52,51
,,,,41,52,52
